level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
10,11,6.0,0.0,16.0,217,63.0,13.192,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '80.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.74'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.8'}]","[91, 120, 29, 36, 37, 217, 218]",True,259930.0,84.94500000000001,33.32,,,,,,,,,,,0.26666666666666666,,,,,,,,,,,Le Havre,Monaco,21.0,Younes Namli,MR,True,26.805352126317004,0.0,42.52711286039397,Y. Namli,1.0,Monaco
11,12,10.0,0.0,17.0,248,20.37,35.292,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,117973.0,,,,,,,,,,,,,0.2833333333333333,,,,,,,,,,,Monaco,Le Havre,3.0,Eric Dier,DC,True,0.0,0.0,,E. Dier,1.0,Monaco
12,13,8.0,0.0,18.0,248,21.0,35.428000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.01'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.9'}]","[91, 117, 30, 36, 38, 216, 218]",True,117973.0,38.325,30.532,,,,,,,,,,,0.3,,,,2.0,4.0,4.0,3.0,0.01016549,0.01262646,0.0024609700000000016,Monaco,Le Havre,3.0,Eric Dier,DC,True,17.24700663575281,0.0,-15.78015411916683,E. Dier,1.0,Monaco
13,14,9.0,0.0,20.0,248,38.22,30.124,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[91],True,262838.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,Monaco,Le Havre,18.0,Takumi Minamino,AMC,True,0.0,0.0,,T. Minamino,1.0,Monaco
14,15,11.0,0.0,25.0,248,2.1,16.32,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '53.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '22.2'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.26'}]","[91, 120, 128, 36, 38, 216, 218]",True,64846.0,55.125,15.096,,,,,,,,,,,0.4166666666666667,,,,,,,,,,,Monaco,Le Havre,1.0,Lukas Hradecky,GK,True,51.070430817961004,0.0,-1.3223494944271053,L. Hradecky,1.0,Monaco
15,16,7.0,0.0,27.0,217,49.77,49.980000000000004,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '12'}]","[197, 200]",False,123253.0,,,,,,,,,,,,,0.45,,,,,,,,,,,Le Havre,Monaco,4.0,Gautier Lloris,DC,True,0.0,0.0,,G. Lloris,1.0,Monaco
16,17,12.0,0.0,27.0,248,55.230000000000004,18.02,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[198, 199]",False,430909.0,,,,,,,,,,,,,0.45,,,,,,,,,,,Monaco,Le Havre,14.0,Mika Biereth,FW,True,0.0,0.0,,M. Biereth,1.0,Monaco
17,18,8.0,0.0,28.0,217,49.665,45.15200000000001,0.0,FirstHalf,Interception,Successful,"[{'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 101, 56]",True,123253.0,,,,,,,,,,,,,0.4666666666666667,,,,,,,,,,,Le Havre,Monaco,4.0,Gautier Lloris,DC,True,0.0,0.0,,G. Lloris,1.0,Monaco
18,19,13.0,0.0,32.0,248,55.230000000000004,2.108,0.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",[91],True,426648.0,,,,,,,,,,,,,0.5333333333333333,,,,,,,,,,,Monaco,Le Havre,11.0,Maghnes Akliouche,AMR,True,0.0,0.0,,M. Akliouche,1.0,Monaco
19,20,10.0,0.0,42.0,217,56.175000000000004,68.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.33'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '86.6'}]","[91, 212, 36, 38, 216]",True,532224.0,63.42,58.888,,,,,,,,,,,0.7,,,,6.0,7.0,7.0,6.0,0.01473596,0.01870347,0.0039675100000000005,Le Havre,Monaco,18.0,Yanis Zouaoui,DL,True,11.037542403063405,0.0,-51.51160200500571,Y. Zouaoui,1.0,Monaco
20,21,11.0,0.0,43.0,217,63.42,58.888,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.21'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '90.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 120, 29, 36, 37, 217, 218]",True,477122.0,76.125,61.540000000000006,,,,,,,,,,,0.7166666666666667,,,,,,,,,,,Le Havre,Monaco,8.0,Yassine Kechta,ML,True,8.55675680435823,0.0,11.790437968820786,Y. Kechta,1.0,Monaco
21,22,15.0,0.0,46.0,248,30.87,8.296,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.91'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 216, 218]",True,361839.0,38.745,18.360000000000003,,,,,,,,,,,0.7666666666666666,,,,3.0,0.0,4.0,2.0,0.00977659,0.01269174,0.00291515,Monaco,Le Havre,4.0,Jordan Teze,DR,True,10.383930905996976,0.0,51.95710241687513,J. Teze,1.0,Monaco
22,23,16.0,0.0,47.0,248,38.85,18.564,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,244560.0,,,,,,,,,,,,,0.7833333333333333,,,,,,,,,,,Monaco,Le Havre,10.0,Aleksandr Golovin,AML,True,0.0,0.0,,A. Golovin,1.0,Monaco
23,24,17.0,0.0,48.0,248,37.800000000000004,9.996,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.78'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}]","[91, 118, 120, 29, 36, 38, 216, 218]",True,244560.0,38.535000000000004,0.0,,,,,,,,,,,0.8,,,,,,,,,,,Monaco,Le Havre,10.0,Aleksandr Golovin,AML,True,-3.298046218679616,0.0,-85.79464299829142,A. Golovin,1.0,Monaco
24,25,14.0,1.0,6.0,217,62.580000000000005,68.0,1.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.78'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '80.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 212, 36, 38, 217]",True,532224.0,84.315,56.984,,,,,,,,,,,1.1,,,,,,,,,,,Le Havre,Monaco,18.0,Yanis Zouaoui,DL,True,23.442701349935863,0.0,-26.87736402770405,Y. Zouaoui,1.0,Monaco
25,26,19.0,1.0,9.0,248,21.525000000000002,11.56,1.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.16'}]","[91, 94, 95, 57, 215]",True,117973.0,33.18,10.132000000000001,,,,,,,,,,,1.15,,,,,,,,,,,Monaco,Le Havre,3.0,Eric Dier,DC,True,0.0,0.0,-6.985208823662224,E. Dier,1.0,Monaco
26,27,20.0,1.0,10.0,248,33.18,9.928,1.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.01'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.0'}]","[91, 118, 120, 128, 36, 38, 216, 218]",True,262838.0,44.730000000000004,6.664000000000001,,,,,,,,,,,1.1666666666666667,,,,,,,,,,,Monaco,Le Havre,18.0,Takumi Minamino,AMC,True,9.567245747401344,0.0,-15.780154119166815,T. Minamino,1.0,Monaco
27,28,15.0,1.0,13.0,217,64.89,56.168,1.0,FirstHalf,Interception,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}]","[91, 101, 56]",True,123253.0,,,,,,,,,,,,,1.2166666666666668,,,,,,,,,,,Le Havre,Monaco,4.0,Gautier Lloris,DC,True,0.0,0.0,,G. Lloris,2.0,Le Havre
28,29,16.0,1.0,14.0,217,63.21000000000001,40.528000000000006,1.0,FirstHalf,BallRecovery,Successful,[],[93],False,486033.0,,,,,,,,,,,,,1.2333333333333334,,,,,,,,,,,Le Havre,Monaco,26.0,Simon Ebonog,MC,True,0.0,0.0,,S. Ebonog,2.0,Le Havre
29,30,17.0,1.0,15.0,217,63.21000000000001,40.528000000000006,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.17'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.8'}]","[91, 117, 30, 35, 38, 216, 218]",True,486033.0,39.69,39.916000000000004,,,,,,,,,,,1.25,,,,7.0,4.0,4.0,4.0,0.0199707,0.01262646,-0.00734424,Le Havre,Monaco,26.0,Simon Ebonog,MC,True,-23.280603012308866,0.0,-178.50947676235958,S. Ebonog,2.0,Le Havre
30,31,18.0,1.0,17.0,217,39.69,39.916000000000004,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '31.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '12.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.75'}]","[91, 117, 30, 36, 38, 216, 218]",True,457079.0,40.845,8.772,,,,,,,,,,,1.2833333333333332,,,,4.0,4.0,4.0,1.0,0.01262646,0.01214719,-0.0004792700000000004,Le Havre,Monaco,15.0,Ayumu Seko,DC,True,-3.359645598046697,0.0,-87.87611380880527,A. Seko,2.0,Le Havre
31,32,19.0,1.0,19.0,217,40.845,8.772,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.99'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '2.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,486031.0,63.945,1.7000000000000002,,,,,,,,,,,1.3166666666666667,,,,4.0,1.0,7.0,0.0,0.01214719,0.0174506,0.00530341,Le Havre,Monaco,93.0,Arouna Sangante,DR,True,16.699097590815363,0.0,-17.021821498227308,A. Sangante,2.0,Le Havre
32,33,19.5,1.0,20.5,217,63.945,1.7000000000000002,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,259930.0,59.43000000000001,3.196,,,,,,20.0,,,,,1.3416666666666668,,,,7.0,0.0,6.0,0.0,0.0174506,0.01473596,-0.002714640000000001,Le Havre,Monaco,21.0,Younes Namli,MR,True,0.0,-2.7667019135771582,161.66790234290522,Y. Namli,2.0,Le Havre
33,34,20.0,1.0,22.0,217,59.43000000000001,3.196,1.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[91, 69]",True,259930.0,,,,,,,,,,,,,1.3666666666666667,,,,,,,,,,,Le Havre,Monaco,21.0,Younes Namli,MR,True,0.0,0.0,,Y. Namli,2.0,Le Havre
34,35,21.0,1.0,23.0,248,45.36000000000001,64.736,1.0,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '124'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 53]",True,320313.0,,,,,,,,,,,,,1.3833333333333333,,,,,,,,,,,Monaco,Le Havre,12.0,Caio Henrique,DL,True,0.0,0.0,,C. Henrique,2.0,Le Havre
35,36,124.0,1.0,23.0,217,59.64,3.2640000000000002,1.0,FirstHalf,Tackle,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '21'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 142]",True,259930.0,,,,,,,,,,,,,1.3833333333333333,,,,,,,,,,,Le Havre,Monaco,21.0,Younes Namli,MR,True,0.0,0.0,,Y. Namli,2.0,Le Havre
36,37,22.0,1.0,24.0,248,49.35,66.436,1.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.91'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '46.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '0.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '97.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 118, 120, 29, 35, 38, 216, 218]",True,244560.0,48.93000000000001,66.028,,,,,,,,,,,1.4,,,,,,,,,,,Monaco,Le Havre,10.0,Aleksandr Golovin,AML,True,-0.1598712510797924,0.0,-135.83031548625755,A. Golovin,3.0,Monaco
37,38,21.0,1.0,25.0,217,58.48500000000001,1.36,1.0,FirstHalf,BallTouch,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]",[91],True,259930.0,,,,,,,,,,,,,1.4166666666666667,,,,,,,,,,,Le Havre,Monaco,21.0,Younes Namli,MR,True,0.0,0.0,,Y. Namli,3.0,Monaco
38,39,24.0,1.0,32.0,248,49.77,68.0,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.51'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.7'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.5'}]","[91, 212, 35, 38, 216]",True,320313.0,37.48500000000001,64.26,,,,,,,,,,,1.5333333333333332,,,,5.0,7.0,4.0,7.0,0.01248344,0.01126267,-0.0012207699999999995,Monaco,Le Havre,12.0,Caio Henrique,DL,True,-9.129696712018372,0.0,-163.06784737608587,C. Henrique,3.0,Monaco
39,40,24.5,1.0,34.0,248,37.48500000000001,64.26,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,456749.0,36.225,56.37200000000001,,,,,,25.0,,,,,1.5666666666666667,,,,4.0,7.0,4.0,6.0,0.01126267,0.01214719,0.0008845199999999998,Monaco,Le Havre,13.0,Christian Mawissa,DC,True,0.0,1.6638546433521526,-99.07554501581335,C. Mawissa,3.0,Monaco
40,41,25.0,1.0,36.0,248,36.225,56.37200000000001,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '27.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.65'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 38, 215, 218]",True,456749.0,34.44,29.240000000000002,,,,,,,,,,,1.6,,,,4.0,6.0,3.0,3.0,0.01214719,0.01132376,-0.00082343,Monaco,Le Havre,13.0,Christian Mawissa,DC,True,1.6018709176980792,0.0,-93.76403486490574,C. Mawissa,3.0,Monaco
41,42,25.5,1.0,39.5,248,34.44,29.240000000000002,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,117973.0,42.105000000000004,26.452,,,,,,26.0,,,,,1.6583333333333334,,,,4.0,3.0,4.0,3.0,0.01262646,0.01262646,0.0,Monaco,Le Havre,3.0,Eric Dier,DC,True,0.0,7.374076417518111,-19.987907827429957,E. Dier,3.0,Monaco
42,43,26.0,1.0,43.0,248,42.105000000000004,26.452,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.66'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.8'}]","[91, 117, 30, 35, 37, 216, 218]",True,117973.0,40.74,41.412,,,,,,,,,,,1.7166666666666668,,,,4.0,3.0,4.0,4.0,0.01262646,0.01262646,0.0,Monaco,Le Havre,3.0,Eric Dier,DC,True,-1.3397552749785149,0.0,95.21342102922226,E. Dier,3.0,Monaco
43,44,27.0,1.0,45.0,248,41.79,42.84,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.10'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.7'}]","[91, 117, 30, 36, 37, 216, 218]",True,456749.0,47.98500000000001,55.01200000000001,,,,,,,,,,,1.75,,,,4.0,5.0,5.0,6.0,0.01269174,0.0138454,0.0011536600000000008,Monaco,Le Havre,13.0,Christian Mawissa,DC,True,3.0615553232221018,0.0,63.02595482241614,C. Mawissa,3.0,Monaco
44,45,27.5,1.0,46.0,248,47.98500000000001,55.01200000000001,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,252419.0,46.830000000000005,51.61200000000001,,,,,,28.0,,,,,1.7666666666666666,,,,5.0,6.0,5.0,6.0,0.0138454,0.0138454,0.0,Monaco,Le Havre,6.0,Denis Zakaria,DMC,True,0.0,-0.014127500511733615,-108.76292636501276,D. Zakaria,3.0,Monaco
